"rule"; "support"; "interactions"; "coverage"
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=postgresql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=TRUE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=gradle & useSass=TRUE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & useSass=FALSE"; 0.02; 8; 0.05
"Docker=TRUE & authenticationType=oauth2 & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 0.02; 9; 0.05
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 0.02; 8; 0.05
