"rule"; "support"; "interactions"; "coverage"
"Docker=FALSE & authenticationType=oauth2 & devDatabaseType=DiskBased"; 0.01; 3; 0.03
"Docker=FALSE & hibernateCache=ehcache & searchEngine=elasticsearch"; 0.01; 3; 0.03
"authenticationType=session & clusteredHttpSession=no & devDatabaseType=postgresql"; 0.01; 3; 0.03
"authenticationType=session & hibernateCache=ehcache & devDatabaseType=InMemory"; 0.01; 3; 0.03
"Docker=FALSE & authenticationType=session & useSass=FALSE"; 0.01; 3; 0.03
"Docker=FALSE & clusteredHttpSession=hazelcast"; 0.01; 2; 0.03
"Docker=FALSE & devDatabaseType=InMemory"; 0.01; 2; 0.03
"authenticationType=session & hibernateCache=no & websocket=spring-websocket & devDatabaseType=InMemory"; 0.01; 4; 0.03
"authenticationType=session & websocket=spring-websocket & buildTool=gradle & searchEngine=no"; 0.01; 4; 0.03
"authenticationType=session & hibernateCache=hazelcast & buildTool=maven & searchEngine=no"; 0.01; 4; 0.03
"authenticationType=session & hibernateCache=no & devDatabaseType=postgresql"; 0.01; 3; 0.03
"buildTool=maven & enableSocialSignIn=TRUE & useSass=FALSE"; 0.01; 3; 0.03
"hibernateCache=hazelcast & devDatabaseType=InMemory & enableSocialSignIn=TRUE"; 0.01; 3; 0.03
"authenticationType=session & hibernateCache=no & clusteredHttpSession=no"; 0.01; 3; 0.03
"authenticationType=session & websocket=spring-websocket & prodDatabaseType=mysql"; 0.01; 3; 0.03
"authenticationType=jwt & clusteredHttpSession=no & websocket=spring-websocket & searchEngine=no"; 0.01; 4; 0.03
"searchEngine=elasticsearch & enableSocialSignIn=TRUE & useSass=FALSE"; 0.01; 3; 0.03
"websocket=no & enableSocialSignIn=TRUE & useSass=FALSE"; 0.01; 3; 0.03
"authenticationType=jwt & websocket=spring-websocket & prodDatabaseType=mysql & searchEngine=no"; 0.01; 4; 0.03
"applicationType=gateway & hibernateCache=ehcache & buildTool=maven"; 0.01; 3; 0.03
"applicationType=gateway"; 0.01; 1; 0.03
"authenticationType=jwt & hibernateCache=no & useSass=TRUE"; 0.01; 3; 0.03
"authenticationType=jwt & hibernateCache=hazelcast & useSass=TRUE"; 0.01; 3; 0.03
"authenticationType=jwt & prodDatabaseType=mysql & enableTranslation=FALSE"; 0.01; 3; 0.03
"authenticationType=jwt & hibernateCache=ehcache & useSass=FALSE"; 0.01; 3; 0.03
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=mariadb"; 0.01; 3; 0.03
"hibernateCache=no & clusteredHttpSession=no & devDatabaseType=mariadb & enableTranslation=TRUE"; 0.01; 4; 0.03
"websocket=no & devDatabaseType=mariadb & enableTranslation=FALSE"; 0.01; 3; 0.03
"hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb"; 0.01; 4; 0.03
"hibernateCache=ehcache & devDatabaseType=mariadb & useSass=FALSE"; 0.01; 3; 0.03
"devDatabaseType=mariadb & useSass=TRUE & enableTranslation=TRUE"; 0.01; 3; 0.03
"hibernateCache=hazelcast & prodDatabaseType=mariadb & useSass=TRUE"; 0.01; 3; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & searchEngine=no & enableTranslation=FALSE"; 0.01; 6; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & prodDatabaseType=mariadb"; 0.01; 3; 0.03
"clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & enableTranslation=FALSE"; 0.01; 4; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 0.01; 6; 0.03
"hibernateCache=no & devDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 0.01; 4; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & searchEngine=elasticsearch & enableTranslation=FALSE"; 0.01; 5; 0.03
"clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch"; 0.01; 5; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & useSass=TRUE"; 0.01; 4; 0.03
"hibernateCache=hazelcast & devDatabaseType=mysql & buildTool=maven & searchEngine=no & enableTranslation=FALSE"; 0.01; 5; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=mysql & searchEngine=no & useSass=FALSE"; 0.01; 5; 0.03
"hibernateCache=no & devDatabaseType=mysql & useSass=TRUE & enableTranslation=TRUE"; 0.01; 4; 0.03
"hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & enableTranslation=TRUE"; 0.01; 5; 0.03
"hibernateCache=no & websocket=spring-websocket & devDatabaseType=mysql"; 0.01; 3; 0.03
"hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql"; 0.01; 3; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & searchEngine=elasticsearch"; 0.01; 4; 0.03
"clusteredHttpSession=no & devDatabaseType=mysql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 0.01; 5; 0.03
"websocket=spring-websocket & devDatabaseType=mysql & searchEngine=no"; 0.01; 3; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=gradle"; 0.01; 4; 0.03
"devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=FALSE"; 0.01; 5; 0.03
"hibernateCache=hazelcast & devDatabaseType=postgresql & searchEngine=no"; 0.01; 3; 0.03
"hibernateCache=no & websocket=no & devDatabaseType=mysql & useSass=FALSE"; 0.01; 4; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 0.01; 5; 0.03
"hibernateCache=no & websocket=no & devDatabaseType=InMemory & searchEngine=no & enableTranslation=FALSE"; 0.01; 5; 0.03
"devDatabaseType=mysql & buildTool=gradle & useSass=TRUE & enableTranslation=FALSE"; 0.01; 4; 0.03
"websocket=no & devDatabaseType=postgresql & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 0.01; 5; 0.03
"websocket=spring-websocket & prodDatabaseType=mariadb & useSass=TRUE"; 0.01; 3; 0.03
"hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=maven & useSass=FALSE"; 0.01; 5; 0.03
